n_data,K,n_procs,mode,serial_total,serial_komp,paralel_total,paralel_komp,speedup_total,speedup_komp,eff_total,eff_komp
50000,5,8,both,0.055921475092569985,0.055921475092569985,0.034875075022379555,0.034875075022379555,1.6034797074037783,,,
75000,5,8,both,0.10304927825927734,0.10304927825927734,0.07987634340922038,0.07987634340922038,1.2901101109666224,,,
100000,5,8,both,0.12891070048014322,0.12891070048014322,0.08820891380310059,0.08820891380310059,1.4614248710498456,,,
1000,7,2,both,0.002079168955485026,0.002079168955485026,0.004410982131958008,0.004410982131958008,0.47136190836531355,,,
5000,7,2,both,0.007815678914388021,0.007815678914388021,0.013164838155110678,0.013164838155110678,0.5936783135730327,,,
10000,7,2,both,0.016627788543701172,0.016627788543701172,0.02353016535441081,0.02353016535441081,0.7066583805618789,,,
25000,7,2,both,0.04520265261332194,0.04520265261332194,0.044416348139444985,0.044416348139444985,1.0177030419387103,,,
50000,7,2,both,0.08265988032023112,0.08265988032023112,0.08289877573649089,0.08289877573649089,0.9971182274510405,,,
75000,7,2,both,0.1182714303334554,0.1182714303334554,0.11479043960571289,0.11479043960571289,1.0303247442879317,,,
100000,7,2,both,0.30319539705912274,0.30319539705912274,0.2945902347564697,0.2945902347564697,1.029210616264204,,,
1000,7,4,both,0.002066453297932943,0.002066453297932943,0.004580020904541016,0.004580020904541016,0.4511886170397363,,,
5000,7,4,both,0.007719119389851888,0.007719119389851888,0.00935514767964681,0.00935514767964681,0.8251199932039247,,,
10000,7,4,both,0.016319433848063152,0.016319433848063152,0.01236263910929362,0.01236263910929362,1.3200606847606682,,,
25000,7,4,both,0.046764373779296875,0.046764373779296875,0.031720638275146484,0.031720638275146484,1.4742570238864754,,,
50000,7,4,both,0.08153279622395833,0.08153279622395833,0.051501830418904625,0.051501830418904625,1.5831048248341544,,,
75000,7,4,both,0.1196584701538086,0.1196584701538086,0.07520651817321777,0.07520651817321777,1.591065150472833,,,
100000,7,4,both,0.3027489980061849,0.3027489980061849,0.19629923502604166,0.19629923502604166,1.5422831269109187,,,
1000,7,6,both,0.0020767847696940103,0.0020767847696940103,0.004936615626017253,0.004936615626017253,0.4206899882479836,,,
5000,7,6,both,0.007863918940226236,0.007863918940226236,0.012539386749267578,0.012539386749267578,0.6271374428008264,,,
10000,7,6,both,0.01647035280863444,0.01647035280863444,0.011694033940633139,0.011694033940633139,1.4084406537768868,,,
25000,7,6,both,0.04403273264567057,0.04403273264567057,0.02335834503173828,0.02335834503173828,1.8850964221069964,,,
50000,7,6,both,0.08341097831726074,0.08341097831726074,0.049118995666503906,0.049118995666503906,1.6981409571886226,,,
75000,7,6,both,0.1205135981241862,0.1205135981241862,0.06885647773742676,0.06885647773742676,1.7502143891783961,,,
100000,7,6,both,0.303194522857666,0.303194522857666,0.1850430170694987,0.1850430170694987,1.6385083190888086,,,
1000,7,8,both,0.0021538734436035156,0.0021538734436035156,0.00663002332051595,0.00663002332051595,0.3248666466886425,,,
5000,7,8,both,0.012615124384562174,0.012615124384562174,0.00968313217163086,0.00968313217163086,1.3027937821112587,,,
10000,7,8,both,0.01689489682515462,0.01689489682515462,0.011206467946370443,0.011206467946370443,1.5076022977093821,,,
25000,7,8,both,0.0480655829111735,0.0480655829111735,0.020370960235595703,0.020370960235595703,2.3595148365752987,,,
50000,7,8,both,0.0816647211710612,0.0816647211710612,0.05829946200052897,0.05829946200052897,1.4007800135500432,,,
75000,7,8,both,0.12482666969299316,0.12482666969299316,0.07961996396382649,0.07961996396382649,1.5677810372999579,,,
100000,7,8,both,0.32243696848551434,0.32243696848551434,0.23178021113077799,0.23178021113077799,1.391132430643895,,,
